source,question_id,subject,question,question_type,answer_options,num_options,question_length
WVS-5 (2005-2006),V123,SCIENCE & TECHNOLOGY,"All things considered, the world is better off, or worse off, because of science and technology? Please tell me which comes closest to your view on this scale: 1 means that ""the world is a lot worse off,"" and 10 means that ""the world is a lot better off.""",GoodOrBad,"['A lot worse off', 'A lot better off']",2,255
WVS-5 (2005-2006),V143,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in environmental organizations?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,53
WVS-5 (2005-2006),V145,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in charitable or humanitarian organizations?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,66
WVS-5 (2005-2006),V217,NATIONAL IDENTITY,How important is having ancestors from the country as a requirement for citizenship?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,84
WVS-5 (2005-2006),V220,NATIONAL IDENTITY,How important is abiding by the country's laws as a requirement for citizenship?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,80
WVS-5 (2005-2006),V221,NATIONAL IDENTITY,"Turning to the question of ethnic diversity, Which statement is more accurate? Please use this scale to indicate your position where 1 means ""ethnic diversity erodes a country's unity"" and 10 means ""ethnic diversity enriches life"".",Agreement,"[""Ethnic diversity erodes a country's unity"", 'Ethnic diversity enriches life']",2,231
WVS-5 (2005-2006),V47,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP","Would most people try to take advantage of you if they got a chance, or would they try to be fair?",HowWell,"['Trust Completely', 'Trust Somewhat', 'Neutral', 'Trust a Little', 'Do Not Trust at All']",5,98
WVS-5 (2005-2006),V63,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","On the whole, men make better business executives than women do",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,63
WVS-5 (2005-2006),V64,PERCEPTIONS OF LIFE,Making one's parents proud should be a main goal in life,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,56
WVS-5 (2005-2006),V65,PERCEPTIONS OF LIFE,People should seek to be themselves rather than follow others,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,61
WVS-5 (2005-2006),V66,PERCEPTIONS OF LIFE,People should make effort to live up to what their friends expect,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,65
WVS-5 (2005-2006),V67,PERCEPTIONS OF LIFE,People should decide their goals in life by themselves,Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,54
WVS-6 (2010-2014),V119,"SOCIAL CAPITAL, TRUST & ORGANIZATIONAL MEMBERSHIP",How confident are you in universities?,HowWell,"['A Great Deal', 'Quite a Lot', 'Not Very Much', 'None at All']",4,38
WVS-6 (2010-2014),V150,RELIGION,"With which one of the following statements most? The basic meaning of religion is: To follow religious norms and ceremonies, or to do good to other people?",Agreement,"['To follow religious norms and ceremonies', 'To do good to other people']",2,155
WVS-6 (2010-2014),V151,RELIGION,"And with which of the following statements most? The basic meaning of religion is: To make sense of life after death, or to make sense of life in this world?",Agreement,"['To make sense of life after death', 'To make sense of life in this world']",2,157
WVS-6 (2010-2014),V187,SECURITY,"""Under some conditions, war is necessary to obtain justice.""",Agreement,"['Strongly Agree', 'Agree', 'Disagree', 'Strongly Disagree']",4,60
WVS-6 (2010-2014),V22,PERCEPTIONS OF LIFE,How important is self-expression?,Importance,"['Important', 'Not Important']",2,33
WVS-6 (2010-2014),V228J,POLITICS AND SOCIETY,"Some people think that having honest elections makes a lot of difference in their lives; other people think that it doesn't matter much. honest elections play an important role in deciding whether you and your family are able to make a good living? How important this is-very important, fairly important, not very important or not at all important?",Importance,"['Very important', 'Rather important', 'Not very important', 'Not at all important']",4,348
WVS-7 (2017-2022),292,Political Trust,I am unsure whether to believe most politicians,Agreement,"['Agree', 'Neither Agree nor Disagree', 'Disagree']",3,47
WVS-7 (2017-2022),B,Political Trust,I am usually cautious about trusting politicians,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,48
WVS-7 (2017-2022),C,Political Trust,"In general, politicians are open about their decisions",Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,54
WVS-7 (2017-2022),D,Political Trust,"In general, the government usually does the right thing",Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,55
WVS-7 (2017-2022),E,Political Trust,Information provided by the government is generally unreliable,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,62
WVS-7 (2017-2022),F,Political Trust,It is best to be cautious about trusting the government,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,55
WVS-7 (2017-2022),G,Political Trust,Most politicians are honest and truthful,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,40
WVS-7 (2017-2022),G2,Political Trust,The government usually carries out its duties poorly,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,52
WVS-7 (2017-2022),G3,Political Trust,The government usually acts in its own interests,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,48
WVS-7 (2017-2022),G4,Political Trust,The government wants to do its best to serve the country,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,56
WVS-7 (2017-2022),G5,Political Trust,The government is generally free of corruption,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,46
WVS-7 (2017-2022),G6,Political Trust,The government's work is open and transparent,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,45
WVS-7 (2017-2022),H,Political Trust,People in the government often show poor judgement,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,50
WVS-7 (2017-2022),I,Political Trust,Politicians are often incompetent and ineffective,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,49
WVS-7 (2017-2022),K,Political Trust,Politicians often put country above their personal interests,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,60
WVS-7 (2017-2022),MN1,Middle East Regional Module,To what extent is the government working to crackdown on corruption and root out bribes?,Quantity,"['Not at all', 'To a small extent', 'To a medium extent', 'To a large extent']",4,88
WVS-7 (2017-2022),MN3,Middle East Regional Module,"To what extent ""Citizens must support the government's decisions even if they disagree with them""",Agreement,"['I strongly disagree', 'I disagree', 'I agree', 'I strongly agree']",4,97
WVS-7 (2017-2022),MN4,Middle East Regional Module,"""Political reform should be introduced little by little instead of all at once""",Agreement,"['I strongly disagree', 'I disagree', 'I agree', 'I strongly agree']",4,79
WVS-7 (2017-2022),O,Political Trust,The government usually has good intentions,Agreement,"['Disagree strongly', 'Disagree', 'Neither agree nor disagree', 'Agree', 'Agree strongly']",5,42
WVS-7 (2017-2022),P3,Political Trust,Parliament usually acts in its own interests,Agreement,"['Agree', 'Neither Agree nor Disagree', 'Disagree']",3,44
WVS-7 (2017-2022),P5,Political Trust,Parliament is generally free of corruption,Agreement,"['Agree', 'Neither Agree nor Disagree', 'Disagree']",3,42
WVS-7 (2017-2022),P6,Political Trust,Parliament's work is open and transparent,Agreement,"['Agree', 'Neither Agree nor Disagree', 'Disagree']",3,41
WVS-7 (2017-2022),Q119,CORRUPTION,"How strongly you agree or disagree with the following statement: ""on the whole, women are less corrupt than men""?",Agreement,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']",4,113
WVS-7 (2017-2022),Q158,SCIENCE & TECHNOLOGY,"Science and technology are making our lives healthier, easier, and more comfortable.",Agreement,"['Completely disagree', 'Completely agree']",2,84
WVS-7 (2017-2022),Q159,SCIENCE & TECHNOLOGY,"Because of science and technology, there will be more opportunities for the next generation.",Agreement,"['Completely disagree', 'Completely agree']",2,92
WVS-7 (2017-2022),Q160,SCIENCE & TECHNOLOGY,We depend too much on science and not enough on faith.,Agreement,"['Completely disagree', 'Completely agree']",2,54
WVS-7 (2017-2022),Q161,SCIENCE & TECHNOLOGY,One of the bad effects of science is that it breaks down people's ideas of right and wrong.,Agreement,"['Completely disagree', 'Completely agree']",2,91
WVS-7 (2017-2022),Q162,SCIENCE & TECHNOLOGY,It is not important for me to know about science in my daily life.,Agreement,"['Completely disagree', 'Completely agree']",2,66
WVS-7 (2017-2022),Q169,RELIGIOUS VALUES,"Whenever science and religion conflict, religion is always right",Agreement,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']",4,64
WVS-7 (2017-2022),Q170,RELIGIOUS VALUES,The only acceptable religion is my religion.,Agreement,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']",4,44
WVS-7 (2017-2022),Q174,RELIGIOUS VALUES,With which one of the following statements most? The basic meaning of religion is:,Agreement,"['To follow religious norms and ceremonies', 'To do good to other people']",2,82
WVS-7 (2017-2022),Q176,ETHICAL VALUES AND NORMS,How much with the statement that nowadays one often has trouble deciding which moral rules are the right ones to follow?,Agreement,"['Completely agree', 'Completely disagree']",2,120
WVS-7 (2017-2022),Q234,Elections,How important is having honest elections in general?,Importance,"['Very Important', 'Rather Important', 'Not Very Important', 'Not at All Important']",4,52
WVS-7 (2017-2022),Q28,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","When a mother works for pay, the children suffer",Agreement,"['Strongly agree', 'Agree', 'Disagree', 'Strongly disagree']",4,48
WVS-7 (2017-2022),Q294,Trust,How many world leaders from a list do you generally trust?,HowWell,"['Trust nobody', 'Trust one leader', 'Trust two leaders', 'Trust three leaders', 'Trust all four leaders']",5,58
WVS-7 (2017-2022),Q35,"SOCIAL VALUES, ATTITUDES & STEREOTYPES","If a woman earns more money than her husband, it's almost certain to cause problems",Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,83
WVS-7 (2017-2022),Q36,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Homosexual couples are as good parents as other couples,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,55
WVS-7 (2017-2022),Q37,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",It is a duty towards society to have children,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,45
WVS-7 (2017-2022),Q38,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Adult children have the duty to provide long-term care for their parents,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,72
WVS-7 (2017-2022),Q43,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Less importance placed on work in our lives,GoodOrBad,"['Good', 'Don’t mind', 'Bad']",3,43
WVS-7 (2017-2022),Q44,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",More emphasis on the development of technology,GoodOrBad,"['Good', 'Don’t mind', 'Bad']",3,46
WVS-7 (2017-2022),Q45,"SOCIAL VALUES, ATTITUDES & STEREOTYPES",Greater respect for authority,GoodOrBad,"['Good', 'Don’t mind', 'Bad']",3,29
WVS-7 (2017-2022),Q46,HAPPINESS AND WELL-BEING,"Taking all things together, you are",PositiveNegative,"['Very happy', 'Rather happy', 'Not very happy', 'Not at all happy']",4,35
WVS-7 (2017-2022),Q56,HAPPINESS AND WELL-BEING,"Comparing your standard of living with your parents' standard of living when they were about your age, you are better off, worse off or about the same?",BetterOrWorse,"['Better off', 'Worse off', 'Or about the same']",3,151
WVS-7 (2017-2022),SDG 1,Political System,How much the political system in a country allows people like you to have a say in what the government does?,Quantity,"['A great deal', 'A lot', 'Some', 'Very little', 'Not at all']",5,108
WVS-7 (2017-2022),UN4,Political Trust,The UN wants to do its best to serve the world,Agreement,"['Agree strongly', 'Agree', 'Neither agree nor disagree', 'Disagree', 'Disagree strongly']",5,46
Understanding Society Wave 1 (2009-2010),SCENV_CCLS,ENVIRONMENT,Climate change is caused by human activity,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,42
Understanding Society Wave 1 (2009-2010),SCENV_PMRE,ENVIRONMENT,Willingness to pay more for environmentally friendly products,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,61
Understanding Society Wave 1 (2009-2010),SCENV_DSTR,ENVIRONMENT,"If things continue on their current course, humanity will soon experience a major environmental disaster",Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,104
Understanding Society Wave 1 (2009-2010),SCENV_EXAG,ENVIRONMENT,The so-called environmental crisis facing humanity has been greatly exaggerated,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,79
Understanding Society Wave 1 (2009-2010),SCENV_BCON,ENVIRONMENT,"Climate change is beyond control, it is too late to do anything about it",Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,72
Understanding Society Wave 1 (2009-2010),SCENV_FUTR,ENVIRONMENT,The effects of climate change are too far in the future to really cause worry,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,77
Understanding Society Wave 1 (2009-2010),SCENV_CFIT,ENVIRONMENT,Changes to help the environment need to fit in with lifestyle,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,61
Understanding Society Wave 1 (2009-2010),SCENV_CHWO,ENVIRONMENT,It is not worth doing things to help the environment if others do not do the same,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,81
Understanding Society Wave 1 (2009-2010),SCENV_BRIT,ENVIRONMENT,It is not worth Britain trying to combat climate change because other countries will just cancel out what Britain does,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,118
Understanding Society Wave 1 (2009-2010),SCOPECL30,ENVIRONMENT,People in the UK will be affected by climate change in the next 30 years,Agreement,"['Yes, Believe This', 'No, Do Not Believe This']",2,72
